countryOrRegion,holidayName,normalizeHolidayName,isPaidTimeOff,countryRegionCode,date
United States,New Year's Day,New Year's Day,True,US,2000-01-01
United States,Martin Luther King Jr. Day,Martin Luther King Jr. Day,,US,2000-01-17
United States,Washington's Birthday,Washington's Birthday,True,US,2000-02-21
United States,Memorial Day,Memorial Day,True,US,2000-05-29
United States,Independence Day,Independence Day,True,US,2000-07-04
United States,Labor Day,Labor Day,True,US,2000-09-04
United States,Columbus Day,Columbus Day,False,US,2000-10-09
United States,Veterans Day (Observed),Veterans Day,False,US,2000-11-10
United States,Veterans Day,Veterans Day,False,US,2000-11-11
United States,Thanksgiving,Thanksgiving,True,US,2000-11-23
United States,Christmas Day,Christmas Day,True,US,2000-12-25
United States,New Year's Day,New Year's Day,True,US,2001-01-01
United States,Martin Luther King Jr. Day,Martin Luther King Jr. Day,,US,2001-01-15
United States,Washington's Birthday,Washington's Birthday,True,US,2001-02-19
United States,Memorial Day,Memorial Day,True,US,2001-05-28
United States,Independence Day,Independence Day,True,US,2001-07-04
United States,Labor Day,Labor Day,True,US,2001-09-03
United States,Columbus Day,Columbus Day,False,US,2001-10-08
United States,Veterans Day,Veterans Day,False,US,2001-11-11
United States,Veterans Day (Observed),Veterans Day,False,US,2001-11-12
United States,Thanksgiving,Thanksgiving,True,US,2001-11-22
United States,Christmas Day,Christmas Day,True,US,2001-12-25
United States,New Year's Day,New Year's Day,True,US,2002-01-01
United States,Martin Luther King Jr. Day,Martin Luther King Jr. Day,,US,2002-01-21
United States,Washington's Birthday,Washington's Birthday,True,US,2002-02-18
United States,Memorial Day,Memorial Day,True,US,2002-05-27
United States,Independence Day,Independence Day,True,US,2002-07-04
United States,Labor Day,Labor Day,True,US,2002-09-02
United States,Columbus Day,Columbus Day,False,US,2002-10-14
United States,Veterans Day,Veterans Day,False,US,2002-11-11
United States,Thanksgiving,Thanksgiving,True,US,2002-11-28
United States,Christmas Day,Christmas Day,True,US,2002-12-25
United States,New Year's Day,New Year's Day,True,US,2003-01-01
United States,Martin Luther King Jr. Day,Martin Luther King Jr. Day,,US,2003-01-20
United States,Washington's Birthday,Washington's Birthday,True,US,2003-02-17
United States,Memorial Day,Memorial Day,True,US,2003-05-26
United States,Independence Day,Independence Day,True,US,2003-07-04
United States,Labor Day,Labor Day,True,US,2003-09-01
United States,Columbus Day,Columbus Day,False,US,2003-10-13
United States,Veterans Day,Veterans Day,False,US,2003-11-11
United States,Thanksgiving,Thanksgiving,True,US,2003-11-27
United States,Christmas Day,Christmas Day,True,US,2003-12-25
United States,New Year's Day,New Year's Day,True,US,2004-01-01
United States,Martin Luther King Jr. Day,Martin Luther King Jr. Day,,US,2004-01-19
United States,Washington's Birthday,Washington's Birthday,True,US,2004-02-16
United States,Memorial Day,Memorial Day,True,US,2004-05-31
United States,Independence Day,Independence Day,True,US,2004-07-04
United States,Independence Day (Observed),Independence Day,True,US,2004-07-05
United States,Labor Day,Labor Day,True,US,2004-09-06
United States,Columbus Day,Columbus Day,False,US,2004-10-11
United States,Veterans Day,Veterans Day,False,US,2004-11-11
United States,Thanksgiving,Thanksgiving,True,US,2004-11-25
United States,Christmas Day (Observed),Christmas Day,True,US,2004-12-24
United States,Christmas Day,Christmas Day,True,US,2004-12-25
United States,New Year's Day (Observed),New Year's Day,True,US,2004-12-31
United States,New Year's Day,New Year's Day,True,US,2005-01-01
United States,Martin Luther King Jr. Day,Martin Luther King Jr. Day,,US,2005-01-17
United States,Washington's Birthday,Washington's Birthday,True,US,2005-02-21
United States,Memorial Day,Memorial Day,True,US,2005-05-30
United States,Independence Day,Independence Day,True,US,2005-07-04
United States,Labor Day,Labor Day,True,US,2005-09-05
United States,Columbus Day,Columbus Day,False,US,2005-10-10
United States,Veterans Day,Veterans Day,False,US,2005-11-11
United States,Thanksgiving,Thanksgiving,True,US,2005-11-24
United States,Christmas Day,Christmas Day,True,US,2005-12-25
United States,Christmas Day (Observed),Christmas Day,True,US,2005-12-26
United States,New Year's Day,New Year's Day,True,US,2006-01-01
United States,New Year's Day (Observed),New Year's Day,True,US,2006-01-02
United States,Martin Luther King Jr. Day,Martin Luther King Jr. Day,,US,2006-01-16
United States,Washington's Birthday,Washington's Birthday,True,US,2006-02-20
United States,Memorial Day,Memorial Day,True,US,2006-05-29
United States,Independence Day,Independence Day,True,US,2006-07-04
United States,Labor Day,Labor Day,True,US,2006-09-04
United States,Columbus Day,Columbus Day,False,US,2006-10-09
United States,Veterans Day (Observed),Veterans Day,False,US,2006-11-10
United States,Veterans Day,Veterans Day,False,US,2006-11-11
United States,Thanksgiving,Thanksgiving,True,US,2006-11-23
United States,Christmas Day,Christmas Day,True,US,2006-12-25
United States,New Year's Day,New Year's Day,True,US,2007-01-01
United States,Martin Luther King Jr. Day,Martin Luther King Jr. Day,,US,2007-01-15
United States,Washington's Birthday,Washington's Birthday,True,US,2007-02-19
United States,Memorial Day,Memorial Day,True,US,2007-05-28
United States,Independence Day,Independence Day,True,US,2007-07-04
United States,Labor Day,Labor Day,True,US,2007-09-03
United States,Columbus Day,Columbus Day,False,US,2007-10-08
United States,Veterans Day,Veterans Day,False,US,2007-11-11
United States,Veterans Day (Observed),Veterans Day,False,US,2007-11-12
United States,Thanksgiving,Thanksgiving,True,US,2007-11-22
United States,Christmas Day,Christmas Day,True,US,2007-12-25
United States,New Year's Day,New Year's Day,True,US,2008-01-01
United States,Martin Luther King Jr. Day,Martin Luther King Jr. Day,,US,2008-01-21
United States,Washington's Birthday,Washington's Birthday,True,US,2008-02-18
United States,Memorial Day,Memorial Day,True,US,2008-05-26
United States,Independence Day,Independence Day,True,US,2008-07-04
United States,Labor Day,Labor Day,True,US,2008-09-01
United States,Columbus Day,Columbus Day,False,US,2008-10-13
United States,Veterans Day,Veterans Day,False,US,2008-11-11
United States,Thanksgiving,Thanksgiving,True,US,2008-11-27
United States,Christmas Day,Christmas Day,True,US,2008-12-25
United States,New Year's Day,New Year's Day,True,US,2009-01-01
United States,Martin Luther King Jr. Day,Martin Luther King Jr. Day,,US,2009-01-19
United States,Washington's Birthday,Washington's Birthday,True,US,2009-02-16
United States,Memorial Day,Memorial Day,True,US,2009-05-25
